0,"0"
1,"1"
2,"2"
3,"3"
4,"4"
5,"5"
6,"6"
7,"7"
8,"8"
9,"9"
10,"10"
11,"11"
12,"12"
13,"13"
14,"14"
15,"15"
16,"16"
17,"17"
18,"18"
19,"19"
20,"10"
21,"11"
22,"12"
23,"13"
24,"14"
25,"15"
26,"16"
27,"17"
28,"18"
29,"19"
30,"30"
31,"31"
32,"32"
33,"33"
34,"34"
35,"35"
36,"36"
37,"37"
38,"38"
39,"39"
40,"40"
41,"41"
42,"42"
43,"43"
44,"44"
45,"45"
46,"46"
47,"47"
48,"48"
49,"49"
50,"50"
51,"51"
52,"52"
53,"53"
54,"54"
55,"55"
56,"56"
57,"57"
58,"58"
59,"59"
O_CLOCK,""
MINUTE,"minutes"
ASTERISK,"asterisk"
SHARP,"sharp"
CALLING_START,"Hello, you have reached the White House Hotline."
NAVIGATION_HINT,"To listen again, press the star key. To return to the beginning, press 0."
WRONG_INPUT,"Invalid input. Please try again."
NATIONALITY_REQ,"Please enter your nationality as a country code followed by the pound key. If you do not know your country code, please press the asterisk key."
NATN_CODE_ENTRY,"Country codes are international standards established by the International Telecommunication Union to identify each subscriber's country."
NATN_CODE_P1,"You have selected country code 1. This includes the US mainland from 201 to 989, US Virgin Islands 1 340, Northern Mariana Islands 1 670, Guam 1 671, American Samoa 1 684, Puerto Rico 1 787 or 939, Canada 1 204 and 226 to 942, Bermuda 1 441, Anguilla 1 264, British Virgin Islands 1 284, Cayman Islands 1 345, Turks and Caicos 1 649, Montserrat 1 664, Bahamas 1 242, Barbados 1 246, Antigua and Barbuda 1 268, Grenada 1 473, Sint Maarten 1 721, Saint Lucia 1 758, Dominica 1 767, Saint Vincent and the Grenadines 1 784, Trinidad and Tobago 1 868, Saint Kitts and Nevis 1 869, Jamaica 1 876, and the Dominican Republic 1 809, 829, or 849. To hear this again, press 9. To return to the previous menu, press 0."
NATN_CODE_P2,"You have selected country code 2. This includes Egypt 20, South Sudan 211, Morocco/Western Sahara 212, Algeria 213, Tunisia 216, Libya 218, Gambia 220, Senegal 221, Mauritania 222, Mali 223, Guinea 224, Ivory Coast 225, Burkina Faso 226, Niger 227, Togo 228, Benin 229, Mauritius 230, Liberia 231, Sierra Leone 232, Ghana 233, Nigeria 234, Chad 235, Central African Republic 236, Cameroon 237, Cape Verde 238, Sao Tome and Principe 239, Equatorial Guinea 240, Gabon 241, Congo 242, DR Congo 243, Angola 244, Guinea-Bissau 245, British Indian Ocean Territory 246, Ascension Island 247, Seychelles 248, Sudan 249, Rwanda 250, Ethiopia 251, Somalia/Somaliland 252, Djibouti 253, Kenya 254, Tanzania 255, Uganda 256, Burundi 257, Mozambique 258, Zambia 260, Madagascar 261, Reunion/Mayotte 262, Zimbabwe 263, Namibia 264, Malawi 265, Lesotho 266, Botswana 267, Eswatini 268, Comoros 269, South Africa 27, Saint Helena/Tristan da Cunha 290, Eritrea 291, Aruba 297, Faroe Islands 298, and Greenland 299. To hear this again, press 9. To return to the previous menu, press 0."
NATN_CODE_P3,"You have selected country code 3. This includes Greece 30, Netherlands 31, Belgium 32, France 33, Spain 34, Gibraltar 350, Portugal 351, Luxembourg 352, Ireland 353, Iceland 354, Albania 355, Malta 356, Cyprus 357, Finland 358, Aland Islands 358 18, Bulgaria 359, Hungary 36, Lithuania 370, Latvia 371, Estonia 372, Moldova/Transnistria 373, Armenia 374, Belarus 375, Andorra 376, Monaco 377, San Marino 378, Ukraine 380, Serbia 381, Montenegro 382, Kosovo 383, Croatia 385, Slovenia 386, Bosnia and Herzegovina 387, North Macedonia 389, Italy 39, and Vatican City 39 06 698. Romania 40, Switzerland 41, Czech Republic 420, Slovakia 421, Liechtenstein 423, Austria 43, United Kingdom 44, Guernsey 44 1481, Jersey 44 1534, Isle of Man 44 1624, Denmark 45, Sweden 46, Norway 47, Svalbard and Jan Mayen 47 79, Poland 48, and Germany 49. To hear this again, press 9. To return to the previous menu, press 0."
NATN_CODE_P5,"You have selected country code 5. This includes Falkland Islands 500, Belize 501, Guatemala 502, El Salvador 503, Honduras 504, Nicaragua 505, Costa Rica 506, Panama 507, Saint Pierre and Miquelon 508, Haiti 509, Peru 51, Mexico 52, Cuba 53, Argentina 54, Brazil 55, Chile 56, Colombia 57, Venezuela 58, Guadeloupe/Saint Martin/Saint Barthelemy 590, Bolivia 591, Guyana 592, Ecuador 593, French Guiana 594, Paraguay 595, Martinique 596, Suriname 597, Uruguay 598, Sint Eustatius 599 3, Saba 599 4, Bonaire 599 7, and Curacao 599 9. To hear this again, press 9. To return to the previous menu, press 0."
NATN_CODE_P6,"You have selected country code 6. This includes Malaysia 60, Australia 61, Cocos Islands 61 8 9162, Christmas Island 61 8 9164, Indonesia 62, Philippines 63, New Zealand/Pitcairn Islands 64, Singapore 65, Thailand 66, East Timor 670, Australian Antarctic Territory 672 1, Norfolk Island 672 3, Brunei 673, Nauru 674, Papua New Guinea 675, Tonga 676, Solomon Islands 677, Vanuatu 678, Fiji 679, Palau 680, Wallis and Futuna 681, Cook Islands 682, Niue 683, Samoa 685, Kiribati 686, New Caledonia 687, Tuvalu 688, French Polynesia 689, Tokelau 690, Micronesia 691, and Marshall Islands 692. To hear this again, press 9. To return to the previous menu, press 0."
NATN_CODE_P7,"You have selected country code 7. This includes Russia 7, Kazakhstan 7 6 or 7 7, Abkhazia landline 7 840 or mobile 7 940, and South Ossetia landline 7 850 or mobile 7 929. To hear this again, press 9. To return to the previous menu, press 0."
NATN_CODE_P8,"You have selected country code 8. This includes Japan 81, South Korea 82, Vietnam 84, North Korea 850, Hong Kong 852, Macau 853, Cambodia 855, Laos 856, China 86, Bangladesh 880, and Taiwan 886. To hear this again, press 9. To return to the previous menu, press 0."
NATN_CODE_P9,"You have selected country code 9. This includes Turkey 90, Northern Cyprus 90 533 or 548, India 91, Pakistan 92, Afghanistan 93, Sri Lanka 94, Myanmar 95, Maldives 960, Lebanon 961, Jordan 962, Syria 963, Iraq 964, Kuwait 965, Saudi Arabia 966, Yemen 967, Oman 968, Palestine 970, UAE 971, Israel 972, Bahrain 973, Qatar 974, Bhutan 975, Mongolia 976, Nepal 977, Iran 98, Tajikistan 992, Turkmenistan 993, Azerbaijan 994, Georgia 995, South Ossetia 995 34, Kyrgyzstan 996, and Uzbekistan 998. To hear this again, press 9. To return to the previous menu, press 0."
NATN_SELECTED,"Confirmed as {nation}. Thank you."
NATN_SELECTED_S1,"Confirmed as"
NATN_SELECTED_S2,"Thank you."
IDENTITY_REQ,"If you are staff for unofficial diplomacy, press 1. For official diplomacy staff, press 2. For regional government staff involved in public diplomacy without national diplomatic authority, press 3. For senior officials of central government agencies with diplomatic authority, press 4. For minister or vice-minister level officials, press 5. For anyone above that level, press 6."
IDENTITY_SELECTED,"You are from {nation} and fall under the {rank_type} category, correct?"
IDENTITY_SELECTED_S1,"You are from"
IDENTITY_SELECTED_S2,"and fall under the"
IDENTITY_SELECTED_S3,"category, correct?"
TARGET_SETTING,"If you wish to speak directly with the President due to an urgent situation, press 1. If the matter is less urgent or you wish to speak with an operator, press 2. For other inquiries, press 3."
HOTLINE_AUTH_REQ,"A hotline access code is required to continue. Please enter the six-digit hotline code followed by the pound key."
HOTLINE_AUTH_FAIL,"The code you entered is invalid or unauthorized. Please re-enter your hotline code. To try again, press 1. To return to the main menu, press 0."
HOTLINE_AUTH_SUCC,"Welcome. Please wait a moment while we connect you with a government official."
HOTLINE_ABSENCE,"We apologize, but the representative is currently unavailable. To schedule a call, press 1. If there is an emergency that cannot wait, press 2."
HOTLINE_RESERVE,"Reserved. The current time is {now}, and your call has been scheduled for {res_time}."
HOTLINE_RESERVE_S1,"Reserved. The current time is"
HOTLINE_RESERVE_S2,"and your call has been scheduled for"
HOTLINE_EMERGENCY,"We will do our best to help resolve the situation. Please specify the nature of the emergency. For economic crisis, press 1. For natural disaster, press 2. For military or security risks, press 3."
MILITARY_RISK,"Please specify the nature of the military risk. For terror intelligence, press 1. For signs of military conflict, press 2. For local unrest, press 3. For a declaration of war, press 4. For a nuclear emergency, press 5."
NUCLEAR_EMERGENCY,"A nuclear emergency is a critical matter. If you need assistance with missile interception due to an error or technical issue, press 1. For nuclear power plant anomalies or destruction forecasts, press 2."
INTERCEPT_REQ,"You may request a special US Air Force interception mission through the Department of Defense. A special military action authorization code is required. If ready, press 1. For the main menu, press 0."
MIL_CODE_ENTRY,"To proceed, enter the four-digit special military action authorization code followed by the pound key."
MIL_CODE_CONFIRM_1,"The code you entered is for {action_desc}. Do you wish to continue? Press 1 for Yes, 2 for No."
MIL_CODE_CONFIRM_1_S1,"The code you entered is for"
MIL_CODE_CONFIRM_1_S2,"Do you wish to continue? Press 1 for Yes, 2 for No."
MIL_CODE_CONFIRM_2,"Are you sure you want to continue? Once a mission is executed, it cannot be undone. To continue, press 1. To cancel, press 2."
MIL_CODE_CANCEL,"The military action request has been canceled. Please start again from the beginning."
MIL_CODE_FAIL,"The code you entered is incorrect. To try again, press 1. To return to the main menu, press 0."
MIL_ACTION_START,"Confirmed. The code has been transmitted to the US Department of Defense, and the special interception mission has been authorized. Thank you for your cooperation."
OPERATOR_CONNECT,"Connecting to an operator. Please wait. Your queue number is {wait_num}, and the estimated wait time is {wait_min} minutes."
OPERATOR_CONNECT_S1,"Connecting to an operator. Please wait. Your queue number is"
OPERATOR_CONNECT_S2,"and the estimated wait time is"
OPERATOR_CONNECT_S3,"minutes."
TRAFFIC_OVERLOAD,"We are experiencing unusually high call volume, resulting in longer wait times. To stay on the line, press 1. For the main menu, press 0."
MISC_INQUIRY,"For trade agreements, press 1. For denuclearization policy, press 2. For hotline authentication code inquiries, press 3."
NUCLEAR_PROG,"To learn about nuclear weapons, press 1. For weapons available to the US, press 2."
NUCLEAR_LEARN,"We are always seeking ways to maintain peace. To learn about missiles from major nations, press 1. For more details, visit the USAID website."
MISSILE_LIST_REQ,"Press 1 for Russia, 2 for China, 3 for India, 4 for South Korea, 5 for North Korea, or 6 for Japan."
MISSILE_LIST_NK,"North Korean missiles include the Hwasong-11, Hwasong-5, Hwasong-6, Hwasong-7, Pukguksong-2, Hwasal-2, Hwasong-10, and the Hwasong-20 ICBM."
US_WEAPONS,"For offensive weapons, press 1. For defensive weapons such as interceptors, press 2."
DEFENSE_WEAPONS,"Defensive weapons include aircraft capable of intercepting ballistic missiles. For missile power codes, press 1. For interception method codes, press 2."
POWER_CODE_REQ,"For low-speed ballistic missiles, press 1. For high-speed ballistic missiles, press 2."
POWER_CODE_LOW,"The first two digits of the special military action authorization code for low-speed ballistic missiles are {code}."
POWER_CODE_LOW_S1,"The first two digits of the special military action authorization code for low-speed ballistic missiles are"
POWER_CODE_HIGH,"The first two digits of the special military action authorization code for high-speed ballistic missiles are {code}."
POWER_CODE_HIGH_S1,"The first two digits of the special military action authorization code for high-speed ballistic missiles are"
INTERCEPT_METHOD,"For Northern Hemisphere missiles (X0 method), press 1. For Southern Hemisphere missiles (Y0 method), press 2."
INTERCEPT_CODE_X0,"The last two digits of the special authorization code for the X0 interception method are {code}."
INTERCEPT_CODE_X0_S1,"The last two digits of the special authorization code for the X0 interception method are"
INTERCEPT_CODE_Y0,"The last two digits of the special authorization code for the Y0 interception method are {code}."
INTERCEPT_CODE_Y0_S1,"The last two digits of the special authorization code for the Y0 interception method are"
CODE_LOST_REQ,"To apply for a new authentication code, press 1. To verify an existing code, press 2."
BOT_CHECK_REQ,"We must verify that you are not a robot. Please enter the following code: {bot_code}"
BOT_CHECK_REQ_S1,"We must verify that you are not a robot. Please enter the following code:"
BOT_CHECK_FAIL,"Invalid code. Please try again."
CODE_ISSUE_SUCC,"Thank you for applying for a hotline code. Your code is {new_code}."
CODE_ISSUE_SUCC,"Thank you for applying for a hotline code. Your code is"
ERROR_404,"An error has occurred. This page does not exist. To return to the main menu, press 0."